name,멋있는,즐거운,맛있는,독특한,쾌적한,편안한,친절한,신비로운,rating
에코랜드테마파크,0.5607566820415878,0.6155408945179582,0.5773572506616257,0.6090455009451795,0.6782073648393194,0.7077138858223061,0.580427286200378,0.5963952824196596,4.3
영실,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,5.0
오설록티뮤지엄,0.7155930096938775,0.6803693786989795,2.01908019005102,0.7069141068877551,0.6967999145408162,0.7206633678571429,0.6856363137755102,0.7080676860969388,3.9
외돌개,0.5888590079999999,0.521872816,0.5073099733333334,0.5918261973333333,0.5227128586666667,0.552179248,0.49966666666666676,0.7247115733333334,4.2
용눈이오름,0.8363248,0.47500000000000003,0.536056,0.47500000000000003,0.47500000000000003,0.47500000000000003,0.47500000000000003,0.6737128,4.7
용두암,0.5202357397959183,0.4993993928571429,0.6199475586734693,0.6031962551020408,0.5084978494897958,0.5262462244897959,0.5112293647959184,0.5561393035714285,3.5
용머리해안,0.5495962674556214,0.5345083053254438,0.7574670201183431,0.6751656307692309,0.5269853917159764,0.5644378319526627,0.5193324094674556,0.7986016852071007,4.5
용연구름다리,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,5.0
우도,0.7523461841224636,0.7540768891420434,1.4997111037379853,0.7578247065859738,0.7547833443930225,0.793790414524742,0.7546234662869349,0.7878908633677466,4.5
우도등대공원,0.692562,0.5211832500000001,0.6475498500000001,0.4650000000000001,0.52671705,0.4650000000000001,0.49290704999999996,0.5806750500000001,4.5
월정리해변,0.5108047206611569,0.4976183867768593,0.5843684495867768,0.524076482644628,0.5002796892561983,0.5093176925619834,0.47409090909090906,0.5889236495867769,4.2
위미리동백나무군락,0.84177,0.47700000000000004,0.47700000000000004,0.47700000000000004,0.47700000000000004,0.47700000000000004,0.47700000000000004,0.47700000000000004,4.8
이중섭미술관,0.47148669387755104,0.4819281632653061,0.45472215510204084,0.5102957714285715,0.4364285714285715,0.4364285714285715,0.4364285714285715,0.4733077551020408,4.0
이호테우해변,0.41700000000000004,0.4364544,0.5634336000000001,0.41700000000000004,0.48198240000000003,0.43735920000000006,0.41700000000000004,0.41700000000000004,3.9
일출랜드,0.4948152,0.4917264,0.7516031999999999,0.6855864,0.375,0.4360776,0.5799192,0.6233567999999998,3.6
정물오름,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,0.5005,5.0
정방폭포,0.7095680429687501,0.60171741953125,0.6992706296875001,0.6437085296875,0.6083302257812501,0.619012478125,0.6148393140625,0.6846732859375001,4.4
제주1100고지습지보호지역,0.8883147500000002,0.44000000000000006,0.5562383750000001,0.5557827500000001,0.44000000000000006,0.44000000000000006,0.44000000000000006,0.9197225,4.2
제주4.3평화공원,0.48298106666666674,0.4872525333333334,0.4838106666666667,0.4839704000000001,0.48713200000000006,0.4871768000000001,0.4840192000000001,0.4814264000000001,4.7
제주공룡랜드,0.405,0.6073056,0.46997639999999996,0.405,0.43417799999999995,0.405,0.43413479999999993,0.4387968,3.9
제주돌문화공원,0.529658912,0.5284177760000001,0.5100002480000001,0.7836695120000001,0.5086783279999999,0.5202745040000001,0.5188877120000001,0.5927316320000001,4.3
